0,x,y
1,x,y
2,x,y
3,x,y
4,x,y
5,x,y
6,x,y
7,x,y
8,x,y
9,x,y
10,x,y
11,x,y
12,x,y
13,x,y
14,x,y
15,x,y
16,x,y
17,x,y
18,x,y
19,x,y
20,x,y
21,x,y
22,x,y
23,x,y
24,x,y
25,x,y
26,x,y
27,x,y
28,x,y
29,x,y
30,x,y
31,x,y
32,x,y
33,x,y
34,x,y
35,x,y
36,x,y
37,x,y
38,x,y
39,x,y
40,x,y
41,x,y
42,x,y
43,x,y
44,x,y
45,x,y
46,x,y
47,x,y
48,x,y
49,x,y
50,x,y
51,x,y
52,x,y
53,x,y
54,x,y
55,x,y
56,x,y
57,x,y
58,x,y
59,x,y
60,x,y
61,x,y
62,x,y
63,x,y
64,x,y
65,x,y
66,x,y
67,x,y
68,x,y
69,x,y
70,x,y
71,x,y
72,x,y
73,x,y
74,x,y
75,x,y
76,x,y
77,x,y
78,x,y
79,x,y
80,x,y
81,x,y
82,x,y
83,x,y
84,x,y
85,x,y
86,x,y
87,x,y
88,x,y
89,x,y
90,x,y
91,x,y
92,x,y
93,x,y
94,x,y
95,x,y
96,x,y
97,x,y
98,x,y
99,x,y
100,x,y
101,x,y
102,x,y
103,x,y
104,x,y
105,x,y
106,x,y
107,x,y
108,x,y
109,x,y
110,x,y
111,x,y
112,x,y
113,x,y
114,x,y
115,x,y
116,x,y
117,x,y
118,x,y
119,x,y
120,x,y
121,x,y
122,x,y
123,x,y
124,x,y
125,x,y
126,x,y
127,x,y
128,x,y
129,x,y
130,x,y
131,x,y
132,x,y
133,x,y
134,x,y
135,x,y
136,x,y
137,x,y
138,x,y
139,x,y
140,x,y
141,x,y
142,x,y
143,x,y
144,x,y
145,x,y
146,x,y
147,x,y
148,x,y
149,x,y
150,x,y
151,x,y
152,x,y
153,x,y
154,x,y
155,x,y
156,x,y
157,x,y
158,x,y
159,x,y
160,x,y
161,x,y
162,x,y
163,x,y
164,x,y
165,x,y
166,x,y
167,x,y
168,x,y
169,x,y
170,x,y
171,x,y
172,x,y
173,x,y
174,x,y
175,x,y
176,x,y
177,x,y
178,x,y
179,x,y
180,x,y
181,x,y
182,x,y
183,x,y
184,x,y
185,x,y
186,x,y
187,x,y
188,x,y
189,x,y
190,x,y
191,x,y
192,x,y
193,x,y
194,x,y
195,x,y
196,x,y
197,x,y
198,x,y
199,x,y
200,x,y
201,x,y
202,x,y
203,x,y
204,x,y
205,x,y
206,x,y
207,x,y
208,x,y
209,x,y
210,x,y
211,x,y
212,x,y
213,x,y
214,x,y
215,x,y
216,x,y
217,x,y
218,x,y
219,x,y
220,x,y
221,x,y
222,x,y
223,x,y
224,x,y
225,x,y
226,x,y
227,x,y
228,x,y
229,x,y
230,x,y
231,x,y
232,x,y
233,x,y
234,x,y
235,x,y
236,x,y
237,x,y
238,x,y
239,x,y
240,x,y
241,x,y
242,x,y
243,x,y
244,x,y
245,x,y
246,x,y
247,x,y
248,x,y
249,x,y
250,x,y
251,x,y
252,x,y
253,x,y
254,x,y
255,x,y
